Age,"Core ComicID","Core SeriesID",Country,Crossover,"Full Title",Genre,Imprint,Issue,"Issue Nr",Language,Publisher,"Release Date","Release Year",Series,"Series Group","Story Arc",Subtitle,Title,Variant,"Cover Price","CovrPrice Value","Custom Label","Date Sold",Grade,"Grader Notes","Grading Company",Key,"Key Category","Key Reason","Label Type","My Value","Page Quality","Price Sold","Purchase Date","Purchase Price","Purchase Store","Purchase Year","Raw / Slabbed","Signed by","Slab Certification Number","Sold Year",Value,Barcode,"Cover Date","Cover Year",Format,"No. of Pages","Variant Description"
Modern,104132,8900,USA,,"Phalkon Quest, Part 1: Boarding Party","Action | Adventure | Super-Heroes",,1,1,English,"Marvel Comics","Mar 06, 1990",1990,"X-Men Spotlight On...Starjammers",X-Men,"Phalkon Quest",,"Part 1: Boarding Party",,4.50,,,,,,,No,,,,,,,,,,,Raw,,,,,07148601513001,"Jan 1990",1990,Squarebound,48,
Modern,104133,8900,USA,,"Phalkon Quest, Part 2: Abandon Ship","Action | Adventure | Science Fiction | Super-Heroes",,2,2,English,"Marvel Comics","Apr 03, 1990",1990,"X-Men Spotlight On...Starjammers",X-Men,"Phalkon Quest",,"Part 2: Abandon Ship",,4.50,,,,,,,No,,,,,,,,,,,Raw,,,,,07148601513002,"Feb 1990",1990,Squarebound,48,
Modern,104150,8903,USA,,"Follow The Leader","Action | Adventure | Super-Heroes",,1A,1,English,"Marvel Comics","Apr 27, 1993",1993,"X-Men Unlimited, Vol. 1",X-Men,,,"Follow The Leader",A,3.95,,,,,,,Minor,"1st full appearance","1st full app. Siena Blaze (tied with UXM #301)",,,,,,,,,Raw,,,,,,"Jun 1993",1993,Comic,64,"Direct Edition"
Modern,104164,8903,USA,,"Point Blank","Action | Adventure | Super-Heroes",,2A,2,English,"Marvel Comics","Jul 27, 1993",1993,"X-Men Unlimited, Vol. 1",X-Men,,,"Point Blank",A,3.95,,,,,,,Minor,"1st appearance","1st app. Adrian Eiskalt, 1st app. Jonathan Chambers",,,,,,,,,Raw,,,,,75960601406400211,"Sep 1993",1993,Comic,64,"Direct Edition"
Modern,104151,8903,USA,,"The Whispers Scream","Action | Adventure | Super-Heroes",,3A,3,English,"Marvel Comics","Oct 26, 1993",1993,"X-Men Unlimited, Vol. 1",X-Men,,,"The Whispers Scream",A,3.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960601406400311,"Dec 1993",1993,Comic,64,"Direct Edition"
Modern,104152,8903,USA,,"Theories Of Relativity","Action | Adventure | Super-Heroes",,4A,4,English,"Marvel Comics","Jan 25, 1994",1994,"X-Men Unlimited, Vol. 1",X-Men,,,"Theories Of Relativity",A,3.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960601406400411,"Mar 1994",1994,Comic,64,"Direct Edition"
Modern,104153,8903,USA,,"Hard Promises","Action | Adventure | Super-Heroes",,5A,5,English,"Marvel Comics","Apr 26, 1994",1994,"X-Men Unlimited, Vol. 1",X-Men,,,"Hard Promises",A,3.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960601406400511,"Jun 1994",1994,Comic,64,"Direct Edition"
Modern,810658,8903,USA,,"First Contact","Action | Adventure | Super-Heroes",,8A,8,English,"Marvel Comics","Aug 10, 1995",1995,"X-Men Unlimited, Vol. 1",X-Men,,,"First Contact",A,3.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960601406400811,"Oct 1995",1995,Comic,64,"Direct Edition"
Modern,104155,8903,USA,,"Fugitive From Space / Junction","Action | Adventure | Super-Heroes",,13A,13,English,"Marvel Comics","Oct 23, 1996",1996,"X-Men Unlimited, Vol. 1",X-Men,,,"Fugitive From Space / Junction",A,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,72527401406413,"Dec 1996",1996,Comic,64,"Direct Edition"
Modern,135092,8891,USA,"Age of Apocalypse","Age of Apocalypse - Beginnings...","Action | Adventure | Super-Heroes",,1A,1,English,"Marvel Comics","Dec 27, 1994",1994,"X-Men Alpha",X-Men,,,Beginnings...,A,3.95,,,,,,,Minor,"1st appearance","1st app. Dark Beast, 1st app. Holocaust, 1st app. 1st app. Abyss (Nils Styger)",,,,,,,,,Raw,,,,,75960602976100111,"Feb 1995",1995,Comic,48,"Direct Edition (Chromium Cover)"
Modern,502926,73888,USA,"Mojo Worldwide","Mojo Worldwide - Mojo Worldwide, Part 2","Action | Adventure | Super-Heroes",,13B,13,English,"Marvel Comics","Oct 11, 2017",2017,"X-Men: Blue",X-Men,"Mojo Worldwide",,"Part 2",B,3.99,,,,,,,No,,,,,,,,,,,Raw,,,,,75960608650401321,"Dec 2017",2017,Comic,32,"David López Lenticular Homage Variant"
Modern,104274,8926,USA,,"Chapter Three: All Of God's Creatures ...","Adventure | Super-Heroes",,3,3,English,"Marvel Comics","Jan 24, 2001",2001,"X-Men Forever, Vol. 1",X-Men,,,"Chapter Three: All Of God's Creatures ...",,3.50,,,,,,,No,,,,,,,,,,,Raw,,,,,75960605058100311,"Mar 2001",2001,Comic,0,
Modern,104275,8926,USA,,"Chapter Four: The Age Of Innocence","Adventure | Super-Heroes",,4,4,English,"Marvel Comics","Feb 28, 2001",2001,"X-Men Forever, Vol. 1",X-Men,,,"Chapter Four: The Age Of Innocence",,3.50,,,,,,,No,,,,,,,,,,,Raw,,,,,75960605058100411,"Apr 2001",2001,Comic,0,
Modern,215986,27736,USA,,"Love--And Loss!, Part 2: Comes the Father!","Action | Adventure | Super-Heroes",,2A,2,English,"Marvel Comics","Jun 24, 2009",2009,"X-Men Forever, Vol. 2",X-Men,"Love--And Loss!",,"Part 2: Comes the Father!",A,3.99,,,,,,,No,,,,,,,,,,,Raw,,,,,75960606638400211,"Aug 2009",2009,Comic,32,
Modern,220974,27736,USA,,"Love--And Loss!, Part 5: Bury My Heart!","Action | Adventure | Super-Heroes",,5A,5,English,"Marvel Comics","Aug 12, 2009",2009,"X-Men Forever, Vol. 2",X-Men,"Love--And Loss!",,"Part 5: Bury My Heart!",A,3.99,,,,,,,No,,,,,,,,,,,Raw,,,,,75960606638400511,"Oct 2009",2009,Comic,32,"Tom Grummett Regular Cover"
Modern,53217,4635,USA,,,"Art / Pin-up",,1,1,English,"Marvel Comics","Jan 1996",1996,"Hot Shots: X-Men",X-Men,,,,,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,,"Jan 1996",1996,Comic,16,
Modern,104130,8898,USA,"Age of Apocalypse","Age of Apocalypse - ...Endings",Adventure,,1A,1,English,"Marvel Comics","Apr 25, 1995",1995,"X-Men Omega",X-Men,,,...Endings,A,3.95,,,,,,,No,,,,,,,"Aug 20, 2023","$ 3.00",Comicspriceguide.com,2023,Raw,,,,,75960602259500111,"Jun 1995",1995,Comic,48,"Direct Edition (Chromium Cover)"
Modern,104131,8899,USA,,"Racing The Night",Adventure,,1A,1,English,"Marvel Comics","Jul 1995",1995,"X-Men Prime, Vol. 1",X-Men,,,"Racing The Night",A,4.95,,,,,,,Minor,"1st appearance","1st app. Marrow (Sarah Rushman)",,,,,,,,,Raw,,,,,75960603164100111,"Jul 1995",1995,Comic,48,"Direct Edition"
